D-0001,Cafe sữa đá,Cà phê,20000.0,1
D-0002,Cafe sữa SG,Cà phê,28000.0,5
D-0003,Cafe đen đá,Cà phê,18000.0,3
D-0004,Cafe đen SG,Cà phê,25000.0,5
D-0005,Cafe muối,Cà phê,38000.0,6
D-0006,Cafe dừa KOKO,Cà phê,40000.0,9
D-0007,Trà Đào,Trà,39000.0,7
D-0008,Trà Vãi Rose,Trà,37000.0,4
D-0009,Trà Mảng Cầu Atiso,Trà,42000.0,5
D-0010,Trà Chanh Dây Quýt,Trà,43000.0,9
D-0011,Trà Chanh,Trà,28000.0,10
D-0012,Sinh Tố Bơ Kem Dừa,Sinh tố,45000.0,14
D-0013,Sinh Tố Dâu,Sinh tố,43000.0,3
D-0014,Sinh Tố Mảng Cầu,Sinh tố,46000.0,5
D-0015,Sinh Tố Thanh Long,Sinh tố,39000.0,6
D-0016,Sinh Tố KIWI,Sinh tố,50000.0,2
D-0017,COCA-COLA,Nước ngọt,20000.0,24
D-0018,PEPSI,Nước ngọt,20000.0,23
D-0019,Bò Húc,Nước ngọt,25000.0,21
D-1020,Nước Suối,Nước ngọt,15000.0,32
